Designator,Mid X,Mid Y,Layer,Rotation
U1,56.000,34.000,Top,0
U6,31.000,26.000,Top,0
U7,60.000,10.000,Top,0
U8,73.000,20.000,Top,0
U9,42.000,38.000,Top,0
U11,10.000,48.000,Top,0
U12,10.000,41.000,Top,0
D1,15.000,14.000,Top,0
D4,50.000,51.000,Top,0
D5,65.000,42.000,Top,0
D6,56.000,7.000,Top,0
D7,52.000,8.000,Top,0
D8,62.000,20.000,Top,0
D9,12.000,6.000,Top,0
D10,23.000,6.000,Top,0
D11,74.000,6.000,Top,0
D12,15.000,14.000,Top,0
D13,65.000,42.000,Top,0
D14,64.000,2.000,Top,0
F2,6.000,44.000,Top,0
FB1,42.000,36.000,Top,0
J1,74.000,40.000,Top,0
J3,40.000,53.000,Top,0
J4,12.000,2.000,Top,0
J5,23.000,2.000,Top,0
J6,34.000,2.000,Top,0
J7,45.000,2.000,Top,0
J8,70.000,46.000,Top,0
J9,70.000,32.000,Top,0
J10,2.000,20.000,Top,0
J12,64.000,2.000,Top,0
J13,2.000,47.000,Top,0
L1,74.000,12.000,Top,0
L2,74.000,20.000,Top,0
Q2,56.000,36.000,Top,0
R2,17.000,10.000,Top,0
R3,20.000,12.000,Top,0
R4,26.000,10.000,Top,0
R5,29.000,12.000,Top,0
R6,36.000,10.000,Top,0
R7,53.000,30.000,Top,0
R8,53.000,32.000,Top,0
R9,63.000,46.000,Top,0
R10,65.000,46.000,Top,0
R11,26.000,36.000,Top,0
R12,26.000,34.000,Top,0
R13,26.000,32.000,Top,0
R14,51.000,49.000,Top,0
R19,57.000,12.000,Top,0
R20,63.000,8.000,Top,0
R21,63.000,10.000,Top,0
R22,62.000,14.000,Top,0
R23,76.000,18.000,Top,0
R24,76.000,20.000,Top,0
R26,57.000,38.000,Top,0
R28,50.000,38.000,Top,0
R31,65.000,44.000,Top,0
R32,36.000,4.000,Top,0
R33,57.000,14.000,Top,0
R34,57.000,16.000,Top,0
R35,10.000,44.000,Top,0
R36,10.000,46.000,Top,0
R37,12.000,46.000,Top,0
R38,14.000,46.000,Top,0
R_CC1,4.000,50.000,Top,0
R_CC2,6.000,50.000,Top,0
SW1,5.000,35.000,Top,0
SW2,5.000,28.000,Top,0
C_SH1,17.000,12.000,Top,0
C_SH2,26.000,12.000,Top,0
C23,42.000,40.000,Top,0
C24,44.000,40.000,Top,0
C3,20.000,14.000,Top,0
C4,22.000,14.000,Top,0
C5,29.000,14.000,Top,0
C6,31.000,14.000,Top,0
C7,36.000,12.000,Top,0
C8,55.000,32.000,Top,0
C9,54.000,35.000,Top,0
C10,56.000,35.000,Top,0
C11,54.000,37.000,Top,0
C12,56.000,37.000,Top,0
C13,27.000,37.000,Top,0
C14,42.000,26.000,Top,0
C15,44.000,26.000,Top,0
C17,58.000,8.000,Top,0
C18,60.000,12.000,Top,0
C19,76.000,14.000,Top,0
C20,77.000,8.000,Top,0
C21,26.000,8.000,Top,0
C22,72.000,8.000,Top,0
C_BST,73.000,18.000,Top,0
C_BUCK,58.000,35.000,Top,0
C27,6.000,46.000,Top,0
C28,8.000,46.000,Top,0
C29,8.000,42.000,Top,0
SJ1,70.000,24.000,Top,0
SJ2,18.000,6.000,Top,0
SJ3,53.000,49.000,Top,0
SJ4,8.000,16.000,Top,0
SJ5,8.000,24.000,Top,0
TP1,20.000,30.000,Top,0
TP2,24.000,30.000,Top,0
TP3,28.000,30.000,Top,0
TP4,32.000,30.000,Top,0
TP5,12.000,16.000,Top,0
TP6,23.000,16.000,Top,0
TP7,36.000,16.000,Top,0
TP8,42.000,44.000,Top,0
TP9,44.000,44.000,Top,0
TP10,64.000,4.000,Top,0
TP11,74.000,44.000,Top,0
TP12,42.000,42.000,Top,0
TP15,12.000,44.000,Top,0
